SeasonType,Season,Week,Date,Team,Opponent,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,HomeOrAway,TeamID,OpponentID,ScoreID
2,2018,0,8/2/2018 8:00:00 PM,BAL,CHI,16.00,0.00,4.00,23.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,6.00,0.00,0,11.00,16.00,0.00,11.00,11.00,36,HOME,3,6,16589
2,2018,0,8/2/2018 8:00:00 PM,CHI,BAL,17.00,0.00,8.00,47.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,8.00,0.00,0,13.00,17.00,0.00,13.00,13.00,38,AWAY,6,3,16589
2,2018,1,8/9/2018 7:00:00 PM,CHI,CIN,30.00,1.00,1.00,4.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,1.00,0,8.00,30.00,0.00,8.00,8.00,38,AWAY,6,7,16603
2,2018,1,8/9/2018 7:00:00 PM,CIN,CHI,27.00,0.00,1.00,8.00,1.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,6.00,0.00,0,7.00,21.00,0.00,7.00,7.00,7,HOME,7,6,16603
2,2018,1,8/9/2018 7:00:00 PM,CLE,NYG,10.00,0.00,2.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0,6.00,10.00,0.00,6.00,6.00,8,AWAY,8,23,16604
2,2018,1,8/9/2018 7:00:00 PM,NYG,CLE,20.00,0.00,1.00,11.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,8.00,0.00,0,4.00,20.00,0.00,4.00,4.00,75,HOME,23,8,16604
2,2018,1,8/9/2018 7:00:00 PM,PHI,PIT,31.00,0.00,4.00,23.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,5.00,0.00,0,5.00,31.00,0.00,5.00,5.00,26,HOME,26,28,16605
2,2018,1,8/9/2018 7:00:00 PM,PIT,PHI,14.00,0.00,2.00,12.00,3.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,5.00,0.00,0,9.00,14.00,0.00,9.00,9.00,28,AWAY,28,26,16605
2,2018,1,8/9/2018 7:00:00 PM,JAX,NO,24.00,0.00,3.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,0,3.00,24.00,0.00,3.00,3.00,52,HOME,15,22,16606
2,2018,1,8/9/2018 7:00:00 PM,NO,JAX,20.00,0.00,6.00,30.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,6.00,0.00,0,9.00,20.00,0.00,9.00,9.00,69,AWAY,22,15,16606
2,2018,1,8/9/2018 7:00:00 PM,BUF,CAR,28.00,0.00,1.00,9.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,3.00,0.00,0,0.00,28.00,0.00,0.00,0.00,37,HOME,4,5,16621
2,2018,1,8/9/2018 7:00:00 PM,CAR,BUF,23.00,0.00,2.00,13.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0,4.00,23.00,0.00,4.00,4.00,5,AWAY,5,4,16621
2,2018,1,8/9/2018 7:00:00 PM,MIA,TB,26.00,0.00,1.00,10.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,4.00,0.00,0,3.00,26.00,0.00,3.00,3.00,64,HOME,19,33,16622
2,2018,1,8/9/2018 7:00:00 PM,TB,MIA,24.00,0.00,2.00,6.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,1.00,0.00,0,6.00,24.00,0.00,6.00,6.00,95,AWAY,33,19,16622
2,2018,1,8/9/2018 7:30:00 PM,BAL,LAR,7.00,0.00,4.00,40.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,4.00,0.00,0,12.00,7.00,0.00,12.00,12.00,36,HOME,3,32,16590
2,2018,1,8/9/2018 7:30:00 PM,LAR,BAL,33.00,0.00,3.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,5.00,0.00,0,2.00,33.00,0.00,2.00,2.00,32,AWAY,32,3,16590
2,2018,1,8/9/2018 7:30:00 PM,NE,WAS,17.00,0.00,3.00,19.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,5.00,0.00,0,6.00,17.00,0.00,6.00,6.00,21,HOME,21,35,16607
2,2018,1,8/9/2018 7:30:00 PM,WAS,NE,26.00,0.00,1.00,4.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,0.00,0,5.00,26.00,0.00,5.00,5.00,97,AWAY,35,21,16607
2,2018,1,8/9/2018 8:00:00 PM,GB,TEN,17.00,0.00,1.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0,6.00,17.00,0.00,6.00,6.00,12,HOME,12,34,16608
2,2018,1,8/9/2018 8:00:00 PM,TEN,GB,31.00,0.00,3.00,16.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,4.00,0.00,0,4.00,31.00,0.00,4.00,4.00,34,AWAY,34,12,16608
2,2018,1,8/9/2018 8:30:00 PM,HOU,KC,10.00,0.00,1.00,5.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,3.00,0.00,0,7.00,10.00,0.00,7.00,7.00,13,AWAY,13,16,16609
2,2018,1,8/9/2018 8:30:00 PM,KC,HOU,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,0,1.00,17.00,0.00,1.00,1.00,55,HOME,16,13,16609
2,2018,1,8/9/2018 10:00:00 PM,DAL,SF,24.00,0.00,0.00,0.00,1.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,5.00,0.00,0,6.00,24.00,0.00,6.00,6.00,48,AWAY,9,31,16610
2,2018,1,8/9/2018 10:00:00 PM,SF,DAL,21.00,0.00,2.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,6.00,0.00,0,2.00,21.00,0.00,2.00,2.00,93,HOME,31,9,16610
2,2018,1,8/9/2018 10:00:00 PM,IND,SEA,17.00,0.00,4.00,34.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,8.00,0.00,0,12.00,11.00,0.00,12.00,12.00,14,AWAY,14,30,16623
2,2018,1,8/9/2018 10:00:00 PM,SEA,IND,19.00,1.00,3.00,22.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,6.00,1.00,0,12.00,19.00,0.00,12.00,12.00,90,HOME,30,14,16623
2,2018,1,8/10/2018 7:30:00 PM,ATL,NYJ,17.00,0.00,1.00,7.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,7.00,0.00,0,4.00,17.00,0.00,4.00,4.00,2,AWAY,2,24,16611
2,2018,1,8/10/2018 7:30:00 PM,NYJ,ATL,0.00,0.00,3.00,10.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,8.00,0.00,0,15.00,0.00,0.00,15.00,15.00,82,HOME,24,2,16611
2,2018,1,8/10/2018 10:30:00 PM,DET,OAK,16.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0,3.00,16.00,0.00,3.00,3.00,11,AWAY,11,25,16631
2,2018,1,8/10/2018 10:30:00 PM,OAK,DET,10.00,0.00,4.00,26.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,5.00,0.00,0,10.00,10.00,0.00,10.00,10.00,83,HOME,25,11,16631
