SeasonType,Season,Week,Date,Team,Opponent,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,HomeOrAway,TeamID,OpponentID,ScoreID
2,2018,0,8/2/2018 8:00:00 PM,BAL,CHI,13.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,4.00,0.00,0,9.00,13.00,0.00,9.00,9.00,36,HOME,3,6,16589
2,2018,0,8/2/2018 8:00:00 PM,CHI,BAL,25.00,0.00,5.00,22.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,7.00,0.00,0,5.00,23.00,0.00,5.00,5.00,38,AWAY,6,3,16589
2,2018,1,8/9/2018 7:00:00 PM,CHI,CIN,17.00,0.00,8.00,47.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,8.00,0.00,0,13.00,17.00,0.00,13.00,13.00,38,AWAY,6,7,16603
2,2018,1,8/9/2018 7:00:00 PM,CIN,CHI,7.00,0.00,3.00,12.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,6.00,0.00,0,9.00,7.00,0.00,9.00,9.00,7,HOME,7,6,16603
2,2018,1,8/9/2018 7:00:00 PM,CLE,NYG,0.00,0.00,4.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,6.00,5.00,0.00,0,16.00,0.00,0.00,16.00,16.00,8,AWAY,8,23,16604
2,2018,1,8/9/2018 7:00:00 PM,NYG,CLE,38.00,1.00,1.00,6.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00,0,7.00,38.00,0.00,7.00,7.00,75,HOME,23,8,16604
2,2018,1,8/9/2018 7:00:00 PM,PHI,PIT,16.00,0.00,3.00,22.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,4.00,0.00,0,6.00,16.00,0.00,6.00,6.00,26,HOME,26,28,16605
2,2018,1,8/9/2018 7:00:00 PM,PIT,PHI,14.00,0.00,2.00,18.00,1.00,2.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,4.00,0.00,0,13.00,14.00,0.00,13.00,13.00,28,AWAY,28,26,16605
2,2018,1,8/9/2018 7:00:00 PM,JAX,NO,7.00,0.00,3.00,34.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0,12.00,1.00,0.00,12.00,12.00,52,HOME,15,22,16606
2,2018,1,8/9/2018 7:00:00 PM,NO,JAX,14.00,0.00,1.00,22.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0,6.00,14.00,0.00,6.00,6.00,69,AWAY,22,15,16606
2,2018,1,8/9/2018 7:00:00 PM,BUF,CAR,17.00,0.00,2.00,6.00,2.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,6.00,0.00,0,9.00,17.00,0.00,9.00,9.00,37,HOME,4,5,16621
2,2018,1,8/9/2018 7:00:00 PM,CAR,BUF,17.00,0.00,1.00,8.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0,6.00,17.00,0.00,6.00,6.00,5,AWAY,5,4,16621
2,2018,1,8/9/2018 7:00:00 PM,MIA,TB,9.00,0.00,5.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,11.00,5.00,0.00,0,11.00,9.00,0.00,11.00,11.00,64,HOME,19,33,16622
2,2018,1,8/9/2018 7:00:00 PM,TB,MIA,13.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,4.00,0.00,0,7.00,7.00,0.00,7.00,7.00,95,AWAY,33,19,16622
2,2018,1,8/9/2018 7:30:00 PM,BAL,LAR,16.00,0.00,4.00,23.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,6.00,0.00,0,11.00,16.00,0.00,11.00,11.00,36,HOME,3,32,16590
2,2018,1,8/9/2018 7:30:00 PM,LAR,BAL,24.00,0.00,4.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,5.00,0.00,0,4.00,24.00,0.00,4.00,4.00,32,AWAY,32,3,16590
2,2018,1,8/9/2018 7:30:00 PM,NE,WAS,40.00,0.00,2.00,7.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,6.00,0.00,0,3.00,34.00,0.00,3.00,3.00,21,HOME,21,35,16607
2,2018,1,8/9/2018 7:30:00 PM,WAS,NE,10.00,1.00,1.00,10.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,3.00,1.00,0,13.00,10.00,0.00,13.00,13.00,97,AWAY,35,21,16607
2,2018,1,8/9/2018 8:00:00 PM,GB,TEN,10.00,0.00,1.00,6.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,3.00,0.00,0,9.00,10.00,0.00,9.00,9.00,12,HOME,12,34,16608
2,2018,1,8/9/2018 8:00:00 PM,TEN,GB,30.00,0.00,1.00,7.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,0.00,0,2.00,30.00,0.00,2.00,2.00,34,AWAY,34,12,16608
