SeasonType,Season,Team,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,Games,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,AuctionValue,AuctionValuePPR,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,AverageDraftPosition,AverageDraftPositionPPR,TeamID
5,2018,AFC,7.00,0.00,7.00,46.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,8.00,7.00,0.00,0,17.00,7.00,,,0.00,17.00,17.00,104,,,36
2,2018,ARI,56.00,3.00,14.00,99.00,8.00,10.00,2.00,7.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,4,18.00,21.00,3.00,0,75.00,56.00,,,0.00,75.00,75.00,1,,,1
1,2018,ARI,425.00,3.00,49.00,333.00,13.00,9.00,2.00,7.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,16,94.00,118.00,2.00,1,103.00,399.00,,,0.00,105.00,105.00,1,,,1
1,2018,ATL,423.00,2.00,37.00,255.00,7.00,4.00,1.00,15.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,16,79.00,68.00,2.00,0,79.00,405.00,,,0.00,81.00,81.00,2,,,2
2,2018,ATL,96.00,0.00,11.00,56.00,0.00,3.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,19.00,23.00,0.00,0,29.00,84.00,,,0.00,29.00,29.00,2,,,2
3,2018,BAL,23.00,0.00,1.00,6.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1,8.00,7.00,0.00,0,3.00,23.00,,,0.00,5.00,5.00,36,,,3
2,2018,BAL,72.00,1.00,21.00,168.00,5.00,4.00,0.00,9.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,5,42.00,28.00,1.00,0,67.00,66.00,,,0.00,67.00,67.00,36,,,3
1,2018,BAL,287.00,4.00,43.00,291.00,8.00,5.00,3.00,12.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,16,103.00,93.00,3.00,1,132.00,281.00,,,0.00,132.00,132.00,36,,,3
1,2018,BUF,374.00,0.00,36.00,217.00,21.00,12.00,0.00,16.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,16,88.00,109.00,0.00,0,109.00,344.00,,,0.00,109.00,109.00,37,,,4
2,2018,BUF,98.00,0.00,4.00,27.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,13.00,23.00,0.00,0,8.00,92.00,,,0.00,8.00,8.00,37,,,4
2,2018,CAR,96.00,1.00,5.00,32.00,2.00,1.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,21.00,19.00,1.00,0,15.00,96.00,,,0.00,15.00,15.00,5,,,5
1,2018,CAR,382.00,1.00,35.00,215.00,14.00,9.00,1.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16,72.00,108.00,1.00,0,88.00,376.00,,,0.00,88.00,88.00,5,,,5
1,2018,CHI,283.00,6.00,50.00,339.00,16.00,9.00,1.00,27.00,5.00,0.00,1.00,0.00,0.00,0.00,0.00,16,104.00,98.00,6.00,0,187.00,277.00,,,0.00,187.00,187.00,38,,,6
2,2018,CHI,118.00,2.00,20.00,97.00,1.00,1.00,0.00,5.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,5,31.00,23.00,2.00,0,44.00,116.00,,,0.00,44.00,44.00,38,,,6
3,2018,CHI,16.00,0.00,1.00,8.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,5.00,7.00,0.00,0,6.00,16.00,,,0.00,6.00,6.00,38,,,6
2,2018,CIN,80.00,0.00,13.00,91.00,3.00,3.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,22.00,20.00,0.00,0,33.00,74.00,,,0.00,33.00,33.00,7,,,7
1,2018,CIN,455.00,5.00,34.00,173.00,9.00,7.00,2.00,12.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,16,83.00,71.00,5.00,0,86.00,449.00,,,0.00,88.00,88.00,7,,,7
1,2018,CLE,392.00,0.00,37.00,245.00,17.00,15.00,0.00,17.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,16,91.00,99.00,0.00,0,100.00,378.00,,,0.00,104.00,104.00,8,,,8
2,2018,CLE,46.00,1.00,13.00,73.00,3.00,2.00,0.00,3.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,4,24.00,25.00,1.00,0,47.00,46.00,,,0.00,47.00,47.00,8,,,8
1,2018,DAL,324.00,1.00,39.00,229.00,15.00,11.00,1.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16,100.00,88.00,1.00,0,98.00,318.00,,,0.00,98.00,98.00,48,,,9
3,2018,DAL,52.00,0.00,1.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,4.00,8.00,0.00,0,0.00,52.00,,,0.00,0.00,0.00,48,,,9
2,2018,DAL,86.00,0.00,5.00,29.00,3.00,2.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,18.00,22.00,0.00,0,17.00,74.00,,,0.00,17.00,17.00,48,,,9
2,2018,DEN,93.00,1.00,12.00,76.00,1.00,1.00,0.00,2.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,4,28.00,22.00,0.00,1,27.00,93.00,,,0.00,27.00,27.00,49,,,10
1,2018,DEN,349.00,2.00,44.00,311.00,15.00,10.00,0.00,17.00,2.00,4.00,0.00,0.00,0.00,0.00,0.00,16,96.00,83.00,2.00,0,122.00,341.00,,,0.00,130.00,130.00,49,,,10
1,2018,DET,360.00,2.00,43.00,298.00,9.00,7.00,0.00,7.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,16,78.00,73.00,2.00,0,100.00,342.00,,,0.00,100.00,100.00,11,,,11
