SeasonType,Season,Team,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,Games,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,AuctionValue,AuctionValuePPR,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,AverageDraftPosition,AverageDraftPositionPPR,TeamID
1,2018,ARI,361.00,3.00,38.00,255.00,17.00,13.00,1.00,14.00,1.00,0.00,0.00,0.50,0.50,0.00,0.00,16,100.00,94.00,2.00,1,97.00,335.00,0,0,0.00,97.00,97.00,1,167.30,165.50,1
1,2018,ATL,315.00,4.00,39.00,296.00,13.00,13.00,1.50,13.00,1.50,0.00,0.00,0.50,0.50,0.00,0.00,16,81.00,86.00,3.00,1,102.00,303.00,0,0,0.00,102.00,102.00,2,166.60,166.50,2
1,2018,BAL,303.00,4.00,39.00,280.00,15.00,13.00,1.50,17.00,1.50,1.00,0.00,0.50,0.50,0.00,0.00,16,98.00,96.00,3.00,1,110.00,291.00,2,2,0.00,110.00,110.00,36,128.80,128.30,3
1,2018,BUF,359.00,3.00,33.00,156.00,14.00,12.00,1.00,17.00,1.00,0.00,0.00,0.50,0.50,0.00,0.00,16,69.00,79.00,2.00,1,97.00,347.00,0,0,0.00,97.00,97.00,37,188.00,186.00,4
1,2018,CAR,327.00,4.00,45.00,304.00,14.00,13.00,1.00,13.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,16,102.00,90.00,2.00,2,108.00,315.00,1,1,0.00,108.00,108.00,5,159.80,163.90,5
1,2018,CHI,320.00,4.00,45.00,277.00,12.00,14.00,1.50,12.00,1.50,1.00,1.00,0.50,0.50,0.00,0.00,16,97.00,78.00,3.00,1,107.00,306.00,1,1,0.00,107.00,107.00,38,157.30,139.90,6
1,2018,CIN,349.00,3.00,37.00,278.00,4.00,11.00,1.00,13.00,1.00,1.00,0.00,0.50,0.50,0.00,0.00,16,98.00,99.00,2.00,1,92.00,343.00,0,0,0.00,92.00,92.00,7,185.00,183.00,7
1,2018,CLE,410.00,3.00,35.00,197.00,11.00,12.00,1.00,11.00,1.00,0.00,0.00,0.50,0.50,0.00,0.00,16,74.00,108.00,2.00,1,87.00,384.00,0,0,0.00,87.00,87.00,8,159.90,169.70,8
1,2018,DAL,332.00,3.00,37.00,321.00,19.00,14.00,1.00,12.00,1.00,1.00,0.00,0.50,0.50,0.00,0.00,16,98.00,100.00,2.00,1,93.00,302.00,0,0,0.00,93.00,93.00,48,180.00,166.40,9
1,2018,DEN,382.00,5.00,42.00,175.00,8.00,12.00,1.50,13.00,1.50,3.00,0.00,1.00,1.00,0.00,0.00,16,78.00,82.00,3.00,2,110.00,354.00,2,1,0.00,110.00,110.00,49,140.20,137.40,10
1,2018,DET,376.00,4.00,34.00,228.00,15.00,12.00,1.00,14.00,1.00,2.00,0.00,1.00,1.00,0.00,0.00,16,95.00,84.00,2.00,2,98.00,346.00,0,0,0.00,98.00,98.00,11,172.80,170.60,11
1,2018,GB,384.00,3.00,41.00,252.00,10.00,12.00,1.00,14.00,1.00,0.00,0.00,0.50,0.50,0.00,0.00,16,83.00,101.00,2.00,1,99.00,372.00,0,0,0.00,99.00,99.00,12,177.00,166.80,12
