PlayerID,Team,Number,FirstName,LastName,Position,Status,Height,Weight,BirthDate,College,Experience,FantasyPosition,PositionCategory,PhotoUrl,ByeWeek,AverageDraftPosition,CollegeDraftTeam,CollegeDraftYear,CollegeDraftRound,CollegeDraftPick,IsUndraftedFreeAgent,FanDuelPlayerID,DraftKingsPlayerID,InjuryStatus,FanDuelName,DraftKingsName,TeamID
127,,64,Jeremy,Zuttah,C,Inactive,6'3",308,6/1/1986 12:00:00 AM,Rutgers,10,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/127.png,,,TB,2008,3,83,False,,,,,,
157,,52,Ray,Lewis,LB,Inactive,6'1",240,5/15/1975 12:00:00 AM,Miami (Fla.),17,LB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,,,,,,,,,,,,,
184,,45,David,Harris,LB,Inactive,6'2",250,1/21/1984 12:00:00 AM,Michigan,12,LB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/184.png,,,NYJ,2007,2,47,False,,,,,David Harris,
462,,42,BenJarvus,Green-Ellis,RB,Inactive,5'11",224,7/2/1985 12:00:00 AM,Mississippi,6,RB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,,,NE,2008,,,True,,215750,,,,
832,,58,Elvis,Dumervil,DE,Inactive,5'11",248,1/19/1984 12:00:00 AM,Louisville,13,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/832.png,,,DEN,2006,4,126,False,,,,,,
852,,83,Jacob,Tamme,TE,Inactive,6'3",236,3/15/1985 12:00:00 AM,Kentucky,9,TE,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/852.png,,,IND,2008,4,127,False,6664,225194,,Jacob Tamme,Jacob Tamme,
1036,,4,Byron,Leftwich,QB,Inactive,6'5",250,1/14/1980 12:00:00 AM,Marshall,10,QB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,,,,,,,,,,,,,
1061,,95,Charles,Johnson,DE,Suspended,6'2",275,7/10/1986 12:00:00 AM,Georgia,12,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/1061.png,,,CAR,2007,3,83,False,,,,,Charles Johnson,
1181,,88,Martellus,Bennett,TE,Inactive,6'6",265,1/10/1987 12:00:00 AM,Texas A&M,11,TE,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/1181.png,,,DAL,2008,2,61,False,6448,302238,,Martellus Bennett,Martellus Bennett,
1214,,98,Frostee,Rucker,DE,Inactive,6'3",280,9/14/1983 12:00:00 AM,USC,14,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/1214.png,,,CIN,2006,3,91,False,,,,,,
