PlayerID,SeasonType,Season,Team,Number,Name,Position,PositionCategory,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,KickReturns,KickReturnYards,KickReturnTouchdowns,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,FieldGoalsAttempted,FieldGoalsMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,FantasyPosition,PlayerSeasonID,ExtraPointsAttempted,AuctionValue,AuctionValuePPR,FantasyPointsFanDuel,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FantasyPointsDraftKings,AverageDraftPosition,AverageDraftPositionPPR,TeamID
2379,1,2018,ARI,41,Antoine Bethea,FS,DEF,16,16,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.70,20.40,0.90,0.40,2.80,0.80,3.70,1.20,0.60,0.10,2.10,0.20,0.00,0.00,0.00,0.00,0.00,0.00,70.88,DB,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,1
2428,1,2018,ARI,3,Carson Palmer,QB,OFF,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,QB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,617.00,600.00,1
5571,1,2018,ARI,11,Larry Fitzgerald,WR,OFF,16,16,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,130.15,95.00,991.00,10.4,7.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,139.10,WR,,0.00,31,36,186.60,0.00,0.00,0.00,0.00,0.00,235.10,42.70,35.20,1
5714,1,2018,ARI,4,Phil Dawson,K,ST,16,16,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.02,26.00,34.00,0.00,0.00,0.00,112.00,K,,35.00,0,0,112.00,0.00,0.00,0.00,0.00,0.00,112.00,369.00,415.00,1
11026,1,2018,ARI,84,Jermaine Gresham,TE,OFF,16,16,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,42.96,24.00,236.00,9.8,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.60,TE,,0.00,0,0,41.60,0.00,0.00,0.00,0.00,0.00,53.60,375.00,333.00,1
11437,1,2018,ARI,98,Corey Peters,DT,DEF,16,16,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.30,13.20,3.10,1.30,9.10,2.70,1.50,1.00,0.50,0.00,0.30,0.10,0.00,0.00,0.00,0.00,0.00,0.00,49.71,DL,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,1
11527,1,2018,ARI,9,Sam Bradford,QB,OFF,16,16,243.00,165.00,1927.00,67.9,7.9,11.7,11.00,5.00,98.23,0.00,0.00,0.00,4.00,17.00,4.2,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112.78,QB,,0.00,0,0,117.78,0.00,0.00,0.00,0.00,0.00,117.78,266.00,289.00,1
12157,1,2018,ARI,93,Arthur Moats,DE,DEF,8,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,1.70,0.90,0.40,2.80,0.80,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.73,DL,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,1
12815,1,2018,ARI,57,Josh Bynes,ILB,DEF,16,16,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.80,26.40,2.60,1.10,7.70,2.30,4.50,1.10,0.50,0.10,0.80,0.10,0.00,0.00,0.00,0.00,0.00,0.00,86.77,LB,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,1
12874,1,2018,ARI,18,Greg Little,WR,OFF,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,WR,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1138.00,1121.00,1
