QuarterID,ScoreID,Number,Name,AwayTeamScore,HomeTeamScore
4061,16589,1,1,7,10
4062,16589,2,2,0,0
4063,16589,3,3,0,7
4064,16589,4,4,9,0
4068,16621,1,1,7,7
4075,16621,2,2,0,10
4084,16621,3,3,7,0
4092,16621,4,4,14,6
4088,16603,3,3,6,0
4078,16603,2,2,7,9
4066,16603,1,1,7,14
4096,16603,4,4,7,7
4065,16606,1,1,3,7
4072,16606,2,2,7,6
4090,16606,4,4,14,0
4082,16606,3,3,0,7
4089,16622,3,3,7,6
4070,16622,1,1,6,3
4076,16622,2,2,10,7
4098,16622,4,4,3,8
4077,16604,2,2,6,0
4069,16604,1,1,7,3
4094,16604,4,4,7,0
4085,16604,3,3,0,7
4087,16605,3,3,6,0
4074,16605,2,2,15,14
4067,16605,1,1,7,0
4097,16605,4,4,3,0
4104,16590,4,4,7,7
4073,16590,1,1,0,17
4081,16590,2,2,0,6
4095,16590,3,3,0,3
4093,16607,3,3,0,7
4080,16607,2,2,7,3
4071,16607,1,1,10,0
4100,16607,4,4,0,16
4105,16608,4,4,7,17
4099,16608,3,3,0,7
4079,16608,1,1,7,7
4086,16608,2,2,3,0
4083,16609,1,1,7,0
4091,16609,2,2,7,7
4107,16609,4,4,0,3
4103,16609,3,3,3,0
4109,16623,3,3,3,3
4106,16623,2,2,6,0
4101,16623,1,1,3,7
4111,16623,4,4,7,7
4112,16610,4,4,0,14
4102,16610,1,1,7,0
4110,16610,3,3,7,3
4108,16610,2,2,7,7
4113,16611,1,1,0,7
4114,16611,2,2,0,10
4115,16611,3,3,0,0
4116,16611,4,4,0,0
4117,16631,1,1,0,3
4118,16631,2,2,7,10
4119,16631,3,3,0,0
4120,16631,4,4,3,3
4121,16612,1,1,14,0
4122,16612,2,2,10,14
4126,16612,4,4,15,7
4124,16612,3,3,3,7
4125,16624,2,2,0,0
4127,16624,3,3,7,7
4128,16624,4,4,7,10
4123,16624,1,1,3,7
4129,16613,1,1,0,10
4132,16613,2,2,7,17
4135,16613,3,3,13,7
4139,16613,4,4,0,3
4140,16617,4,4,6,3
4137,16617,3,3,14,14
4134,16617,2,2,0,17
4130,16617,1,1,14,17
4131,16591,1,1,0,6
4136,16591,3,3,0,3
4133,16591,2,2,3,3
4138,16591,4,4,10,3
4145,16614,2,2,10,7
4141,16614,1,1,0,7
4150,16614,3,3,7,0
4155,16614,4,4,11,0
4156,16625,4,4,13,14
4151,16625,3,3,7,0
4142,16625,1,1,0,3
4146,16625,2,2,10,0
4144,16626,1,1,6,6
4159,16626,4,4,8,14
4149,16626,2,2,3,7
4154,16626,3,3,3,0
4153,16618,3,3,3,3
4148,16618,2,2,10,0
4157,16618,4,4,6,7
4143,16618,1,1,0,7
4147,16627,1,1,0,0
4158,16627,3,3,3,0
4152,16627,2,2,17,3
4160,16627,4,4,0,12
4161,16619,1,1,0,3
4162,16619,2,2,7,0
4163,16619,3,3,0,7
4164,16619,4,4,7,0
4165,16615,1,1,0,0
4166,16615,2,2,0,13
4167,16615,3,3,6,3
4168,16615,4,4,9,3
4169,16628,1,1,0,3
4170,16628,2,2,0,7
4173,16628,3,3,11,0
4177,16628,4,4,10,3
4178,16616,3,3,3,3
4182,16616,4,4,3,6
4174,16616,2,2,0,0
4172,16616,1,1,7,7
4175,16629,2,2,17,0
4171,16629,1,1,3,7
4183,16629,4,4,10,0
4180,16629,3,3,0,7
4179,16620,2,2,10,15
4185,16620,3,3,0,3
4186,16620,4,4,14,0
4176,16620,1,1,0,5
4187,16630,3,3,0,7
4188,16630,4,4,8,3
4181,16630,1,1,6,7
4184,16630,2,2,0,7
4189,16592,1,1,0,3
4190,16592,2,2,10,7
4191,16592,3,3,7,0
4192,16592,4,4,3,9
4193,16593,1,1,0,2
4194,16593,2,2,0,3
4195,16593,3,3,0,0
4196,16593,4,4,0,0
4198,16634,1,1,0,6
4201,16634,2,2,3,3
4206,16634,3,3,0,9
4211,16634,4,4,11,7
4213,16632,4,4,3,3
4208,16632,3,3,0,0
4203,16632,2,2,12,6
4199,16632,1,1,7,7
4197,16633,1,1,10,0
4202,16633,2,2,7,3
4207,16633,3,3,6,0
4212,16633,4,4,6,14
4214,16635,4,4,7,15
4210,16635,3,3,3,0
4204,16635,2,2,10,6
4200,16635,1,1,0,0
4205,16594,1,1,3,7
4209,16594,2,2,3,13
4217,16594,4,4,20,3
4215,16594,3,3,7,7
4216,16636,1,1,3,3
4218,16636,2,2,0,0
4219,16636,3,3,3,0
4220,16636,4,4,0,10
4221,16637,1,1,7,14
4222,16637,2,2,3,10
4223,16637,3,3,0,0
4224,16637,4,4,10,3
4226,16638,1,1,7,7
4229,16638,2,2,7,7
4232,16638,3,3,0,7
4235,16638,4,4,6,0
4231,16639,3,3,0,6
4234,16639,4,4,6,0
4228,16639,2,2,0,3
4225,16639,1,1,0,7
4230,16640,2,2,6,7
4233,16640,3,3,3,7
4227,16640,1,1,0,0
4236,16640,4,4,8,9
4242,16642,3,3,0,0
4238,16642,1,1,3,0
4239,16642,2,2,3,10
4245,16642,4,4,0,7
4246,16641,4,4,10,0
4240,16641,2,2,3,10
4237,16641,1,1,0,0
4244,16641,3,3,14,0
4243,16595,2,2,14,0
4241,16595,1,1,0,7
4247,16595,3,3,8,0
4248,16595,4,4,14,0
4249,16596,1,1,14,0
4250,16596,2,2,6,0
4251,16596,3,3,3,13
4252,16596,4,4,3,0
4253,16597,1,1,14,0
4254,16597,2,2,3,0
4255,16597,3,3,7,0
4256,16597,4,4,3,3
4257,16598,1,1,21,0
4268,16598,2,2,3,7
4286,16598,3,3,7,0
4294,16598,4,4,3,0
4284,16643,3,3,7,3
4265,16643,2,2,7,13
4258,16643,1,1,0,7
4293,16643,4,4,13,3
4261,16644,1,1,10,0
4282,16644,3,3,3,3
4267,16644,2,2,15,0
4295,16644,4,4,7,14
4283,16645,3,3,7,0
4260,16645,1,1,3,0
4269,16645,2,2,0,6
4292,16645,4,4,7,6
4266,16646,2,2,0,0
4278,16646,3,3,3,3
4290,16646,4,4,3,7
4259,16646,1,1,3,0
4263,16602,1,1,0,7
4274,16602,2,2,7,6
4289,16602,3,3,7,14
4302,16602,4,4,6,3
4301,16647,4,4,14,7
4275,16647,2,2,7,11
4262,16647,1,1,0,14
4291,16647,3,3,3,7
4287,16648,3,3,19,0
4264,16648,1,1,3,0
4276,16648,2,2,0,10
4299,16648,4,4,3,0
4309,16599,4,4,25,0
4271,16599,1,1,0,10
4296,16599,3,3,3,7
4279,16599,2,2,0,10
4285,16650,2,2,0,0
4272,16650,1,1,3,7
4310,16650,4,4,3,7
4300,16650,3,3,0,0
4308,16649,4,4,0,6
4273,16649,1,1,0,6
4281,16649,2,2,0,9
4297,16649,3,3,0,7
4298,16600,3,3,3,0
4280,16600,2,2,3,0
4270,16600,1,1,0,3
4306,16600,4,4,7,0
4307,16651,3,3,0,6
4314,16651,4,4,0,10
4277,16651,1,1,7,7
4288,16651,2,2,14,10
4316,16652,3,3,11,0
4318,16652,4,4,7,3
4304,16652,1,1,0,7
4311,16652,2,2,3,0
4303,16653,1,1,7,0
4317,16653,3,3,6,0
4313,16653,2,2,10,13
4320,16653,4,4,7,6
4315,16601,3,3,7,7
4319,16601,4,4,3,7
4312,16601,2,2,10,7
4305,16601,1,1,3,0
4321,16654,1,1,3,0
4322,16654,2,2,3,3
4323,16654,3,3,0,7
4324,16654,4,4,6,8
4332,16662,1,1,0,14
4339,16662,2,2,0,12
4347,16662,3,3,3,14
4354,16662,4,4,0,7
4350,16655,4,4,0,14
4357,16655,5,OT,0,0
4338,16655,2,2,7,0
4342,16655,3,3,14,7
4325,16655,1,1,0,0
4328,16656,1,1,3,3
4344,16656,3,3,7,7
4337,16656,2,2,7,13
4349,16656,4,4,17,0
4356,16657,3,3,0,3
4327,16657,1,1,3,0
4335,16657,2,2,0,7
4373,16657,4,4,17,17
4333,16658,2,2,3,7
4343,16658,3,3,10,14
4351,16658,4,4,3,0
4329,16658,1,1,0,3
4326,16659,1,1,3,7
4352,16659,4,4,7,3
4346,16659,3,3,7,3
4340,16659,2,2,3,14
4336,16660,2,2,17,14
4345,16660,3,3,10,0
4353,16660,4,4,7,16
4330,16660,1,1,14,10
4331,16661,1,1,3,3
4348,16661,4,4,7,6
4334,16661,2,2,10,3
4341,16661,3,3,0,3
4355,16663,1,1,14,6
4365,16663,3,3,14,0
