GameKey,SeasonType,Season,Week,Date,AwayTeam,HomeTeam,AwayScore,HomeScore,PointSpread,OverUnder,AwayScoreQuarter1,AwayScoreQuarter2,AwayScoreQuarter3,AwayScoreQuarter4,AwayScoreOvertime,HomeScoreQuarter1,HomeScoreQuarter2,HomeScoreQuarter3,HomeScoreQuarter4,HomeScoreOvertime,StadiumID,ForecastTempLow,ForecastTempHigh,ForecastDescription,ForecastWindChill,ForecastWindSpeed,AwayTeamMoneyLine,HomeTeamMoneyLine,ScoreID
201820003,2,2018,0,8/2/2018 8:00:00 PM,CHI,BAL,16,17,-2.5,35.5,7,0,0,9,0,10,0,7,0,0,46,66,67,Broken Clouds,66,4,124,-134,16589
201820104,2,2018,1,8/9/2018 7:00:00 PM,CAR,BUF,28,23,-3.0,35.0,7,0,7,14,0,7,10,0,6,0,1,66,67,Light Rain,67,3,145,-155,16621
201820107,2,2018,1,8/9/2018 7:00:00 PM,CHI,CIN,27,30,1.0,35.5,7,7,6,7,0,14,9,0,7,0,5,67,68,Few Clouds,68,2,-112,102,16603
201820115,2,2018,1,8/9/2018 7:00:00 PM,NO,JAX,24,20,-2.5,35.0,3,7,0,14,0,7,6,7,0,0,10,77,80,Few Clouds,77,7,133,-143,16606
201820119,2,2018,1,8/9/2018 7:00:00 PM,TB,MIA,26,24,-2.5,34.5,6,10,7,3,0,3,7,6,8,0,2,77,77,Light Rain,77,4,135,-145,16622
201820123,2,2018,1,8/9/2018 7:00:00 PM,CLE,NYG,20,10,1.0,35.5,7,6,0,7,0,3,0,7,0,0,3,71,72,Clear Sky,71,2,-115,105,16604
201820126,2,2018,1,8/9/2018 7:00:00 PM,PIT,PHI,31,14,-3.0,34.5,7,15,6,3,0,0,14,0,0,0,18,70,71,Clear Sky,71,4,145,-155,16605
201820103,2,2018,1,8/9/2018 7:30:00 PM,LAR,BAL,7,33,-3.5,36.5,0,0,0,7,0,17,6,3,7,0,7,73,75,Clear Sky,75,7,170,-185,16590
201820121,2,2018,1,8/9/2018 7:30:00 PM,WAS,NE,17,26,-2.5,37.5,10,7,0,0,0,0,3,7,16,0,4,68,69,Light Rain,69,6,123,-133,16607
201820112,2,2018,1,8/9/2018 8:00:00 PM,TEN,GB,17,31,-2.0,35.0,7,3,0,7,0,7,0,7,17,0,22,65,66,Clear Sky,65,7,118,-128,16608
201820116,2,2018,1,8/9/2018 8:30:00 PM,HOU,KC,17,10,-2.5,35.0,7,7,3,0,0,0,7,0,3,0,15,67,70,Clear Sky,67,3,130,-140,16609
201820130,2,2018,1,8/9/2018 10:00:00 PM,IND,SEA,19,17,2.0,38.5,3,6,3,7,0,7,0,3,7,0,31,71,72,Clear Sky,72,4,118,-128,16623
201820131,2,2018,1,8/9/2018 10:00:00 PM,DAL,SF,21,24,-4.0,36.0,7,7,7,0,0,0,7,3,14,0,37,58,61,Clear Sky,58,2,170,-185,16610
201820124,2,2018,1,8/10/2018 7:30:00 PM,ATL,NYJ,0,17,-4.5,37.0,0,0,0,0,0,7,10,0,0,0,3,76,76,Light Rain,76,5,177,-192,16611
201820125,2,2018,1,8/10/2018 10:30:00 PM,DET,OAK,10,16,-3.5,37.5,0,7,0,3,0,3,10,0,3,0,16,60,66,Few Clouds,66,3,160,-170,16631
201820110,2,2018,1,8/11/2018 9:00:00 PM,MIN,DEN,42,28,1.0,36.5,14,10,3,15,0,0,14,7,7,0,13,60,65,Clear Sky,65,9,-117,107,16612
201820101,2,2018,1,8/11/2018 10:00:00 PM,LAC,ARI,17,24,-3.0,37.0,3,0,7,7,0,7,0,7,10,0,29,81,82,Clear Sky,82,3,155,-165,16624
201820221,2,2018,2,8/16/2018 7:30:00 PM,PHI,NE,20,37,-4.5,42.5,0,7,13,0,0,10,17,7,3,0,4,72,73,Overcast Clouds,72,3,190,-210,16613
201820212,2,2018,2,8/16/2018 8:00:00 PM,PIT,GB,34,51,-6.0,42.5,14,0,14,6,0,17,17,14,3,0,22,68,70,Broken Clouds,68,3,230,-250,16617
201820235,2,2018,2,8/16/2018 8:00:00 PM,NYJ,WAS,13,15,2.5,41.0,0,3,0,10,0,6,3,3,3,0,19,77,79,Broken Clouds,77,6,-133,123,16591
201820202,2,2018,2,8/17/2018 7:00:00 PM,KC,ATL,28,14,1.5,43.5,0,10,7,11,0,7,7,0,0,0,45,73,76,Few Clouds,73,7,-120,110,16614
201820211,2,2018,2,8/17/2018 7:00:00 PM,NYG,DET,30,17,-3.5,40.5,0,10,7,13,0,3,0,0,14,0,21,70,70,Light Rain,70,7,163,-173,16625
201820205,2,2018,2,8/17/2018 7:30:00 PM,MIA,CAR,20,27,-3.0,42.0,6,3,3,8,0,6,7,0,14,0,26,77,80,Clear Sky,77,10,138,-148,16626
201820208,2,2018,2,8/17/2018 7:30:00 PM,BUF,CLE,19,17,-3.0,43.0,0,10,3,6,0,7,0,3,7,0,6,67,68,Heavy Intensity Rain,67,2,143,-153,16618
201820222,2,2018,2,8/17/2018 8:00:00 PM,ARI,NO,20,15,-6.0,42.5,0,17,3,0,0,0,3,0,12,0,27,79,83,Few Clouds,79,9,230,-250,16627
201820220,2,2018,2,8/18/2018 1:00:00 PM,JAX,MIN,14,10,-4.0,41.0,0,7,0,7,0,3,0,7,0,0,42,66,66,Clear Sky,66,6,180,-195,16619
201820232,2,2018,2,8/18/2018 4:00:00 PM,OAK,LAR,15,19,2.5,39.0,0,0,6,9,0,0,13,3,3,0,38,64,70,Clear Sky,64,2,-137,127,16615
201820209,2,2018,2,8/18/2018 7:00:00 PM,CIN,DAL,21,13,-2.5,41.5,0,0,11,10,0,3,7,0,3,0,17,74,81,Light Rain,74,5,135,-145,16628
201820213,2,2018,2,8/18/2018 8:00:00 PM,SF,HOU,13,16,-3.0,43.0,7,0,3,3,0,7,0,3,6,0,11,79,80,Few Clouds,80,7,150,-160,16616
201820234,2,2018,2,8/18/2018 8:00:00 PM,TB,TEN,30,14,-3.0,42.0,3,17,0,10,0,7,0,7,0,0,12,71,72,Scattered Clouds,71,2,138,-148,16629
201820210,2,2018,2,8/18/2018 9:05:00 PM,CHI,DEN,24,23,-3.0,43.5,0,10,0,14,0,5,15,3,0,0,13,55,58,Light Rain,58,3,140,-150,16620
201820229,2,2018,2,8/18/2018 10:00:00 PM,SEA,LAC,14,24,-3.0,40.0,6,0,0,8,0,7,7,7,3,0,43,71,72,Clear Sky,72,5,135,-145,16630
