StadiumID,Name,City,State,Country,Capacity,PlayingSurface,GeoLat,GeoLong,Type
1,New Era Field,Orchard Park,NY,USA,73079,Artificial,42.773758,-78.786837,Outdoor
2,Hard Rock Stadium,Miami Gardens,FL,USA,76100,Grass,25.957740,-80.238781,Outdoor
3,MetLife Stadium,East Rutherford,NJ,USA,82500,Artificial,40.813611,-74.074444,Outdoor
4,Gillette Stadium,Foxborough,MA,USA,68756,Artificial,42.090866,-71.264244,Outdoor
5,Paul Brown Stadium,Cincinnati,OH,USA,65535,Artificial,39.095309,-84.516003,Outdoor
6,FirstEnergy Stadium,Cleveland,OH,USA,71516,Grass,41.505885,-81.699458,Outdoor
7,M&T Bank Stadium,Baltimore,MD,USA,71008,Grass,39.277985,-76.622788,Outdoor
8,Heinz Field,Pittsburgh,PA,USA,65050,Grass,40.446751,-80.015707,Outdoor
9,Lucas Oil Stadium,Indianapolis,IN,USA,67000,Artificial,39.760056,-86.163806,RetractableDome
10,TIAA Bank Field,Jacksonville,FL,USA,67246,Grass,30.323813,-81.637199,Outdoor
11,NRG Stadium,Houston,TX,USA,71054,Artificial,29.684722,-95.410707,RetractableDome
12,Nissan Stadium,Nashville,TN,USA,6914,Grass,36.166441,-86.771253,Outdoor
13,Broncos Stadium at Mile High,Denver,CO,USA,76125,Grass,39.743936,-105.020097,Outdoor
14,Qualcomm Stadium,San Diego,CA,USA,70561,Grass,32.783188,-117.119439,Outdoor
15,Arrowhead Stadium,Kansas City,MO,USA,76416,Grass,39.049002,-94.483864,Outdoor
16,Oakland Coliseum,Oakland,CA,USA,53200,Grass,37.751613,-122.200509,Outdoor
17,AT&T Stadium,Arlington,TX,USA,80000,Artificial,32.747778,-97.092778,RetractableDome
18,Lincoln Financial Field,Philadelphia,PA,USA,68532,Grass,39.900771,-75.167469,Outdoor
19,FedEx Field,Landover,MD,USA,85000,Grass,38.907652,-76.864479,Outdoor
20,Soldier Field,Chicago,IL,USA,61500,Grass,41.862320,-87.616699,Outdoor
21,Ford Field,Detroit,MI,USA,65000,Artificial,42.340021,-83.045777,Dome
22,Lambeau Field,Green Bay,WI,USA,80750,Grass,44.501389,-88.061944,Outdoor
23,Mall of America Field,Minneapolis,MN,US,64111,Dome,44.976000,-93.225000,Dome
24,Raymond James Stadium,Tampa Bay,FL,USA,65890,Grass,27.975967,-82.503350,Outdoor
25,Georgia Dome,Atlanta,GA,USA,74228,Dome,33.757614,-84.400972,Dome
26,Bank of America Stadium,Charlotte,NC,USA,73778,Grass,35.225808,-80.852861,Outdoor
27,Mercedes-Benz Superdome,New Orleans,LA,USA,73208,Artificial,29.950931,-90.081364,Dome
28,Candlestick Park,San Francisco,CA,US,70207,Grass,37.404108,-121.970274,Outdoor
29,U of Phoenix Stadium,Glendale,AZ,USA,63400,Grass,33.527558,-112.263036,RetractableDome
30,Edward Jones Dome,St. Louis,MO,USA,66000,Dome,38.632975,-90.188547,Dome
31,CenturyLink Field,Seattle,WA,USA,67000,Artificial,47.595153,-122.331625,Outdoor
33,Wembley Stadium,London,,UK,86000,Grass,51.555833,-0.279722,Retractable_dome
34,Rogers Centre,Toronto,,CA,86000,Dome,43.641590,-79.390028,Retractable_dome
35,Fawcett Stadium,Canton,OH,USA,22375,Artificial,40.819822,-81.398177,Outdoor
36,TCF Bank Stadium,Minneapolis,MN,USA,50805,Artificial,44.976000,-93.225000,Outdoor
37,Levi's Stadium,Santa Clara,CA,USA,68500,Grass,37.404108,-121.970274,Outdoor
38,Los Angeles Memorial Coliseum,Los Angeles,CA,USA,93607,Grass,34.014167,-118.287778,Outdoor
39,Camping World Stadium,Orlando,FL,USA,65000,Artificial,25.958056,-80.238889,Outdoor
40,Twickenham Stadium,London,,UK,82000,Grass,51.455936,-0.341516,Outdoor
41,Estadio Azteca,Mexico City,,MEX,87000,Grass,19.302861,-99.150528,Outdoor
42,U.S. Bank Stadium,Minneapolis,MN,USA,66655,Artificial,44.974288,-93.329728,Dome
43,StubHub Center,Carson,CA,USA,27000,Grass,33.858663,-118.256666,Outdoor
45,Mercedes-Benz Stadium,Atlanta,GA,USA,71000,Artificial,33.755000,-84.401000,RetractableDome
46,Tom Benson Hall of Fame Stadium,Canton,OH,USA,,,40.819880,-81.398010,
47,Tottenham Stadium,London,,UK,,,,,
48,Aloha Stadium,Honolulu,HI,USA,50000,Artificial,21.372647,-157.929821,Outdoor
50,Investors Group Field,Winnipeg,,CA,33134,Artificial,49.807778,-97.143056,Outdoor
