SeasonType,Season,Conference,Division,Team,Name,Wins,Losses,Ties,Percentage,PointsFor,PointsAgainst,NetPoints,Touchdowns,DivisionWins,DivisionLosses,ConferenceWins,ConferenceLosses,TeamID,DivisionTies,ConferenceTies
1,2018,AFC,East,NE,New England Patriots,11,5,0,0.688,436,325,111,51,5,1,8,4,21,0,0
1,2018,AFC,East,MIA,Miami Dolphins,7,9,0,0.438,319,433,-114,38,4,2,6,6,19,0,0
1,2018,AFC,East,BUF,Buffalo Bills,6,10,0,0.375,269,374,-105,29,2,4,4,8,4,0,0
1,2018,AFC,East,NYJ,New York Jets,4,12,0,0.250,333,441,-108,34,1,5,3,9,24,0,0
1,2018,AFC,North,BAL,Baltimore Ravens,10,6,0,0.625,389,287,102,41,3,3,8,4,3,0,0
1,2018,AFC,North,PIT,Pittsburgh Steelers,9,6,1,0.594,428,360,68,54,4,1,6,5,28,1,1
1,2018,AFC,North,CLE,Cleveland Browns,7,8,1,0.469,359,392,-33,44,3,2,5,6,8,1,1
1,2018,AFC,North,CIN,Cincinnati Bengals,6,10,0,0.375,368,455,-87,45,1,5,4,8,7,0,0
1,2018,AFC,South,HOU,Houston Texans,11,5,0,0.688,402,316,86,42,4,2,9,3,13,0,0
1,2018,AFC,South,IND,Indianapolis Colts,10,6,0,0.625,433,344,89,52,4,2,7,5,14,0,0
1,2018,AFC,South,TEN,Tennessee Titans,9,7,0,0.563,310,303,7,34,3,3,5,7,34,0,0
1,2018,AFC,South,JAX,Jacksonville Jaguars,5,11,0,0.313,245,316,-71,25,1,5,4,8,15,0,0
1,2018,AFC,West,KC,Kansas City Chiefs,12,4,0,0.750,565,421,144,71,5,1,10,2,16,0,0
1,2018,AFC,West,LAC,Los Angeles Chargers,12,4,0,0.750,428,329,99,51,4,2,9,3,29,0,0
1,2018,AFC,West,DEN,Denver Broncos,6,10,0,0.375,329,349,-20,39,2,4,4,8,10,0,0
1,2018,AFC,West,OAK,Oakland Raiders,4,12,0,0.250,290,467,-177,30,1,5,3,9,25,0,0
1,2018,NFC,East,DAL,Dallas Cowboys,10,6,0,0.625,339,324,15,36,5,1,9,3,9,0,0
1,2018,NFC,East,PHI,Philadelphia Eagles,9,7,0,0.563,367,348,19,41,4,2,6,6,26,0,0
1,2018,NFC,East,WAS,Washington Redskins,7,9,0,0.438,281,359,-78,29,2,4,6,6,35,0,0
1,2018,NFC,East,NYG,New York Giants,5,11,0,0.313,369,412,-43,39,1,5,4,8,23,0,0
1,2018,NFC,North,CHI,Chicago Bears,12,4,0,0.750,421,283,138,50,5,1,10,2,6,0,0
1,2018,NFC,North,MIN,Minnesota Vikings,8,7,1,0.531,360,341,19,42,3,2,6,5,20,1,1
1,2018,NFC,North,GB,Green Bay Packers,6,9,1,0.406,376,400,-24,41,1,4,3,8,12,1,1
1,2018,NFC,North,DET,Detroit Lions,6,10,0,0.375,324,360,-36,35,2,4,4,8,11,0,0
1,2018,NFC,South,NO,New Orleans Saints,13,3,0,0.813,504,353,151,60,4,2,9,3,22,0,0
1,2018,NFC,South,ATL,Atlanta Falcons,7,9,0,0.438,414,423,-9,49,4,2,7,5,2,0,0
1,2018,NFC,South,CAR,Carolina Panthers,7,9,0,0.438,376,382,-6,46,2,4,5,7,5,0,0
1,2018,NFC,South,TB,Tampa Bay Buccaneers,5,11,0,0.313,396,464,-68,49,2,4,4,8,33,0,0
1,2018,NFC,West,LAR,Los Angeles Rams,13,3,0,0.813,527,384,143,60,6,0,9,3,32,0,0
1,2018,NFC,West,SEA,Seattle Seahawks,10,6,0,0.625,428,347,81,52,3,3,8,4,30,0,0
1,2018,NFC,West,SF,San Francisco 49ers,4,12,0,0.250,342,435,-93,35,1,5,2,10,31,0,0
1,2018,NFC,West,ARI,Arizona Cardinals,3,13,0,0.188,225,425,-200,27,2,4,3,9,1,0,0
2,2018,AFC,East,NE,New England Patriots,3,1,0,0.750,94,74,20,10,0,0,0,0,21,0,0
2,2018,AFC,East,BUF,Buffalo Bills,2,2,0,0.500,83,98,-15,11,0,0,1,1,4,0,0
2,2018,AFC,East,MIA,Miami Dolphins,1,3,0,0.250,88,87,1,8,0,0,0,1,19,0,0
2,2018,AFC,East,NYJ,New York Jets,1,3,0,0.250,55,47,8,5,0,0,0,0,24,0,0
2,2018,AFC,North,BAL,Baltimore Ravens,5,0,0,1.000,127,72,55,13,0,0,2,0,3,0,0
2,2018,AFC,North,PIT,Pittsburgh Steelers,3,1,0,0.750,120,95,25,14,0,0,1,0,28,0,0
2,2018,AFC,North,CIN,Cincinnati Bengals,3,1,0,0.750,103,80,23,10,0,0,1,1,7,0,0
2,2018,AFC,North,CLE,Cleveland Browns,3,1,0,0.750,77,46,31,9,0,0,0,1,8,0,0
2,2018,AFC,South,HOU,Houston Texans,3,1,0,0.750,67,50,17,9,0,0,1,0,13,0,0
2,2018,AFC,South,IND,Indianapolis Colts,3,1,0,0.750,88,80,8,9,0,0,1,1,14,0,0
2,2018,AFC,South,JAX,Jacksonville Jaguars,3,1,0,0.750,76,50,26,10,0,0,0,0,15,0,0
2,2018,AFC,South,TEN,Tennessee Titans,0,4,0,0.000,40,90,-50,5,0,0,0,1,34,0,0
2,2018,AFC,West,OAK,Oakland Raiders,3,1,0,0.750,74,54,20,8,0,0,0,0,25,0,0
2,2018,AFC,West,LAC,Los Angeles Chargers,2,2,0,0.500,71,95,-24,9,0,0,0,0,29,0,0
2,2018,AFC,West,KC,Kansas City Chiefs,2,2,0,0.500,91,79,12,9,0,0,0,1,16,0,0
2,2018,AFC,West,DEN,Denver Broncos,2,2,0,0.500,101,93,8,10,0,0,0,0,10,0,0
2,2018,NFC,East,NYG,New York Giants,2,2,0,0.500,74,70,4,8,0,0,1,0,23,0,0
2,2018,NFC,East,WAS,Washington Redskins,1,3,0,0.250,69,98,-29,7,0,0,0,0,35,0,0
2,2018,NFC,East,PHI,Philadelphia Eagles,1,3,0,0.250,44,82,-38,6,0,0,0,0,26,0,0
2,2018,NFC,East,DAL,Dallas Cowboys,0,4,0,0.000,43,86,-43,4,0,0,0,2,9,0,0
2,2018,NFC,North,MIN,Minnesota Vikings,3,1,0,0.750,86,65,21,10,0,0,1,0,20,0,0
2,2018,NFC,North,GB,Green Bay Packers,2,2,0,0.500,109,97,12,13,0,0,0,0,12,0,0
2,2018,NFC,North,CHI,Chicago Bears,2,3,0,0.400,121,118,3,14,0,0,0,0,6,0,0
2,2018,NFC,North,DET,Detroit Lions,1,3,0,0.250,77,111,-34,9,0,0,1,1,11,0,0
2,2018,NFC,South,CAR,Carolina Panthers,3,1,0,0.750,104,96,8,14,0,0,0,0,5,0,0
2,2018,NFC,South,NO,New Orleans Saints,3,1,0,0.750,103,47,56,12,0,0,1,1,22,0,0
2,2018,NFC,South,TB,Tampa Bay Buccaneers,2,2,0,0.500,96,96,0,11,0,0,0,1,33,0,0
2,2018,NFC,South,ATL,Atlanta Falcons,0,4,0,0.000,27,96,-69,3,0,0,0,0,2,0,0
2,2018,NFC,West,ARI,Arizona Cardinals,3,1,0,0.750,81,56,25,9,0,0,2,0,1,0,0
2,2018,NFC,West,LAR,Los Angeles Rams,2,2,0,0.500,47,96,-49,5,0,0,0,1,32,0,0
2,2018,NFC,West,SF,San Francisco 49ers,1,3,0,0.250,75,83,-8,8,0,0,1,0,31,0,0
2,2018,NFC,West,SEA,Seattle Seahawks,0,4,0,0.000,70,94,-24,8,0,0,0,1,30,0,0
3,2018,AFC,East,NE,New England Patriots,3,0,0,1.000,91,62,29,11,0,0,2,0,21,0,0
3,2018,AFC,North,BAL,Baltimore Ravens,0,1,0,0.000,17,23,-6,2,0,0,0,1,3,0,0
3,2018,AFC,South,IND,Indianapolis Colts,1,1,0,0.500,34,38,-4,5,1,0,1,1,14,0,0
3,2018,AFC,South,HOU,Houston Texans,0,1,0,0.000,7,21,-14,1,0,1,0,1,13,0,0
3,2018,AFC,West,KC,Kansas City Chiefs,1,1,0,0.500,62,50,12,8,0,0,1,1,16,0,0
3,2018,AFC,West,LAC,Los Angeles Chargers,1,1,0,0.500,51,58,-7,5,0,0,1,1,29,0,0
