Key,City,Name,Conference,Division,FullName,StadiumID,ByeWeek,AverageDraftPosition,AverageDraftPositionPPR,PrimaryColor,SecondaryColor,TertiaryColor,QuaternaryColor,WikipediaLogoUrl,WikipediaWordMarkUrl,DraftKingsName,DraftKingsPlayerID,FanDuelName,FanDuelPlayerID
AFC,AFC,All Pros,AFC,None,AFC All Pros,,,,,,,,,,,All-Pros AFC,478,AFC All-Pros,12916
ARI,Arizona,Cardinals,NFC,West,Arizona Cardinals,29,12,165.00,181.00,97233F,FFFFFF,000000,,https://upload.wikimedia.org/wikipedia/en/7/72/Arizona_Cardinals_logo.svg,https://upload.wikimedia.org/wikipedia/commons/0/04/Arizona_Cardinals_wordmark.svg,Cardinals ,355,Arizona Cardinals,12546
ATL,Atlanta,Falcons,NFC,South,Atlanta Falcons,45,9,174.00,176.00,000000,A71930,A5ACAF,FFFFFF,https://upload.wikimedia.org/wikipedia/en/c/c5/Atlanta_Falcons_logo.svg,https://upload.wikimedia.org/wikipedia/commons/e/ec/Atlanta_Falcons_wordmark.svg,Falcons ,323,Atlanta Falcons,12525
BAL,Baltimore,Ravens,AFC,North,Baltimore Ravens,7,8,126.80,128.20,241773,000000,9E7C0C,,https://upload.wikimedia.org/wikipedia/en/1/16/Baltimore_Ravens_logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/a9/Baltimore_Ravens_wordmark.svg,Ravens ,366,Baltimore Ravens,12555
BUF,Buffalo,Bills,AFC,East,Buffalo Bills,1,6,164.10,167.60,00338D,C60C30,FFFFFF,00274D,https://upload.wikimedia.org/wikipedia/en/7/77/Buffalo_Bills_logo.svg,https://upload.wikimedia.org/wikipedia/commons/b/bb/Buffalo_Bills_wordmark.svg,Bills ,324,Buffalo Bills,12526
CAR,Carolina,Panthers,NFC,South,Carolina Panthers,26,7,189.00,188.00,0085CA,000000,BFC0BF,FFFFFF,https://upload.wikimedia.org/wikipedia/en/1/1c/Carolina_Panthers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/d/dd/Carolina_Panthers_wordmark.svg,Panthers ,364,Carolina Panthers,12553
CHI,Chicago,Bears,NFC,North,Chicago Bears,20,6,91.10,91.90,0B162A,C83803,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/5/5c/Chicago_Bears_logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/ae/Chicago_Bears_wordmark.svg,Bears ,326,Chicago Bears,12527
CIN,Cincinnati,Bengals,AFC,North,Cincinnati Bengals,5,9,186.00,187.00,FB4F14,000000,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/8/81/Cincinnati_Bengals_logo.svg,https://upload.wikimedia.org/wikipedia/commons/8/8e/Cincinnati_Bengals_wordmark.svg,Bengals ,327,Cincinnati Bengals,12528
CLE,Cleveland,Browns,AFC,North,Cleveland Browns,6,7,134.70,140.30,311D00,FF3C00,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/d/d9/Cleveland_Browns_logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/aa/Cleveland_Browns_wordmark.svg,Browns ,329,Cleveland Browns,12529
DAL,Dallas,Cowboys,NFC,East,Dallas Cowboys,17,8,152.50,157.50,002244,B0B7BC,FFFFFF,00338D,https://upload.wikimedia.org/wikipedia/commons/1/15/Dallas_Cowboys.svg,https://upload.wikimedia.org/wikipedia/commons/b/be/Cowboys_wordmark.svg,Cowboys ,331,Dallas Cowboys,12530
DEN,Denver,Broncos,AFC,West,Denver Broncos,13,10,157.20,160.50,FB4F14,002244,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/4/44/Denver_Broncos_logo.svg,https://upload.wikimedia.org/wikipedia/commons/c/c4/Denver_Broncos_wordmark_%28c._1997%29.png,Broncos ,332,Denver Broncos,12531
DET,Detroit,Lions,NFC,North,Detroit Lions,21,5,181.00,182.00,0076B6,B0B7BC,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/7/71/Detroit_Lions_logo.svg,https://upload.wikimedia.org/wikipedia/commons/2/26/Detroit_Lions_wordmark.svg,Lions ,334,Detroit Lions,12532
GB,Green Bay,Packers,NFC,North,Green Bay Packers,22,11,166.30,170.10,203731,FFB612,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/5/50/Green_Bay_Packers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/1/17/Green_Bay_Packers_wordmark.svg,Packers ,335,Green Bay Packers,12533
HOU,Houston,Texans,AFC,South,Houston Texans,11,10,145.50,153.90,03202F,A71930,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/2/28/Houston_Texans_logo.svg,https://upload.wikimedia.org/wikipedia/commons/6/6c/Houston_Texans_wordmark.svg,Texans ,325,Houston Texans,12556
IND,Indianapolis,Colts,AFC,South,Indianapolis Colts,9,6,167.10,169.70,002C5F,FFFFFF,,,https://upload.wikimedia.org/wikipedia/commons/0/00/Indianapolis_Colts_logo.svg,https://upload.wikimedia.org/wikipedia/commons/9/96/Indianapolis_Colts_wordmark.png,Colts ,338,Indianapolis Colts,12535
JAX,Jacksonville,Jaguars,AFC,South,Jacksonville Jaguars,10,10,116.50,116.70,006778,000000,9F792C,,https://upload.wikimedia.org/wikipedia/en/7/74/Jacksonville_Jaguars_logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/7b/Jacksonville_Jaguars_wordmark.svg,Jaguars ,365,Jacksonville Jaguars,12554
KC,Kansas City,Chiefs,AFC,West,Kansas City Chiefs,15,12,163.10,175.00,E31837,FFB612,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/e/e1/Kansas_City_Chiefs_logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/79/Kansas_City_Chiefs_wordmark.svg,Chiefs ,339,Kansas City Chiefs,12536
LAC,Los Angeles,Chargers,AFC,West,Los Angeles Chargers,43,12,122.70,124.20,002244,0073CF,FFFFFF,FFB612,https://upload.wikimedia.org/wikipedia/en/7/72/NFL_Chargers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/8/87/Los_Angeles_Chargers_wordmark.svg,Chargers ,357,Los Angeles Chargers,12548
LAR,Los Angeles,Rams,NFC,West,Los Angeles Rams,38,9,105.50,106.40,002244,B3995D,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/8/8a/Los_Angeles_Rams_logo.svg,https://upload.wikimedia.org/wikipedia/commons/5/5a/Los_Angeles_Rams_wordmark.svg,Rams ,343,Los Angeles Rams,12538
LARAID,Los Angeles,Raiders,AFC,West,Los Angeles Raiders,,,,,,,,,,,,,,
LARAMS,Los Angeles,Rams,NFC,West,Los Angeles Rams,,,,,,,,,,,,,,
MIA,Miami,Dolphins,AFC,East,Miami Dolphins,2,5,176.00,177.00,008E97,F58220,FFFFFF,005778,https://upload.wikimedia.org/wikipedia/en/3/37/Miami_Dolphins_logo.svg,https://upload.wikimedia.org/wikipedia/commons/0/09/Dolphins_textlogo13.png,Dolphins ,345,Miami Dolphins,12539
MIN,Minnesota,Vikings,NFC,North,Minnesota Vikings,42,12,130.30,136.30,4F2683,FFC62F,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/4/48/Minnesota_Vikings_logo.svg,https://upload.wikimedia.org/wikipedia/commons/9/9d/Minnesota_Vikings_wordmark.svg,Vikings ,347,Minnesota Vikings,12540
NE,New England,Patriots,AFC,East,New England Patriots,4,10,163.40,165.10,002244,C60C30,B0B7BC,FFFFFF,https://upload.wikimedia.org/wikipedia/en/b/b9/New_England_Patriots_logo.svg,https://upload.wikimedia.org/wikipedia/commons/f/f5/New_England_Patriots_wordmark.svg,Patriots ,348,New England Patriots,12541
NFC,NFC,All Pros,NFC,None,NFC All Pros,,,,,,,,,,,All-Pros NFC,479,NFC All-Pros,12915
NO,New Orleans,Saints,NFC,South,New Orleans Saints,27,9,168.50,170.00,D3BC8D,000000,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/5/50/New_Orleans_Saints_logo.svg,https://upload.wikimedia.org/wikipedia/commons/1/10/New_Orleans_Saints_first_wordmark.png,Saints ,350,New Orleans Saints,12542
NYG,New York,Giants,NFC,East,New York Giants,3,11,177.00,178.00,0B2265,A71930,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/6/60/New_York_Giants_logo.svg,https://upload.wikimedia.org/wikipedia/commons/4/4f/Nygiants_textlogo.png,Giants ,351,New York Giants,12543
NYJ,New York,Jets,AFC,East,New York Jets,3,4,166.90,167.50,203731,FFFFFF,,,https://upload.wikimedia.org/wikipedia/en/6/6b/New_York_Jets_logo.svg,https://upload.wikimedia.org/wikipedia/commons/b/b6/New_York_Jets_wordmark.svg,Jets ,352,New York Jets,12544
OAK,Oakland,Raiders,AFC,West,Oakland Raiders,16,6,182.00,183.00,A5ACAF,000000,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/e/ec/Oakland_Raiders_logo.svg,https://upload.wikimedia.org/wikipedia/commons/f/ff/Oakland_Raiders_wordmark.svg,Raiders ,341,Oakland Raiders,12537
PHI,Philadelphia,Eagles,NFC,East,Philadelphia Eagles,18,10,162.10,164.50,004C54,A5ACAF,000000,FFFFFF,https://upload.wikimedia.org/wikipedia/en/8/8e/Philadelphia_Eagles_logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Philadelphia_Eagles_wordmark.svg,Eagles ,354,Philadelphia Eagles,12545
PHO,Phoenix,Cardinals,NFC,West,Phoenix Cardinals,,,,,,,,,,,,,,
PIT,Pittsburgh,Steelers,AFC,North,Pittsburgh Steelers,8,7,164.60,167.60,000000,FFB612,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/d/de/Pittsburgh_Steelers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/9/92/Pittsburgh_Steelers_Script.svg,Steelers ,356,Pittsburgh Steelers,12547
SEA,Seattle,Seahawks,NFC,West,Seattle Seahawks,31,11,171.30,169.30,002244,69BE28,A5ACAF,,https://upload.wikimedia.org/wikipedia/en/8/8e/Seattle_Seahawks_logo.svg,https://upload.wikimedia.org/wikipedia/commons/d/df/Seattle_Seahawks_wordmark.svg,Seahawks ,361,Seattle Seahawks,12550
SF,San Francisco,49ers,NFC,West,San Francisco 49ers,37,4,187.00,170.80,AA0000,B3995D,000000,FFFFFF,https://upload.wikimedia.org/wikipedia/commons/3/3a/San_Francisco_49ers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/2/24/San_Francisco_49ers_wordmark.svg,49ers ,359,San Francisco 49ers,12549
