Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamID,OpponentID,ScoreID
8/2/2018 8:00:00 PM,2,2018,0,CHI,BAL,AWAY,16,17,33,Tom Benson Hall of Fame Stadium,7,0,0,9,0,28,30,28:30,19,3,12,4,73,276,3.8,2,19,65,3.4,0,50,26,211,2,2,4.2,8.1,52.0,59.67,17,6,35.3,3,1,33.3,5,2,0,0,7,52,2,2,4,23,8,8,5,278,55.6,4,2,-2,10,0,7,0,0,31,30,31:30,15,6,8,1,66,194,2.9,2,31,113,3.6,0,27,17,81,2,2,3,4.8,63.0,60.88,16,4,25.0,0,0,0,4,2,0,0,6,70,0,0,8,47,10,6,8,385,48.1,2,4,2,40.0,0,50.0,0,1,1,0,2,0,0,0,1,1,2,2,0,0,0,0,0,1,1,54,18,8,47,5,0,0,46,22,4,23,5,0,1,Thursday,6,3,16589
8/2/2018 8:00:00 PM,2,2018,0,BAL,CHI,HOME,17,16,33,Tom Benson Hall of Fame Stadium,10,0,7,0,0,31,30,31:30,15,6,8,1,66,194,2.9,2,31,113,3.6,0,27,17,81,2,2,3,4.8,63.0,60.88,16,4,25.0,0,0,0,4,2,0,0,6,70,0,0,8,47,10,6,8,385,48.1,2,4,2,7,0,0,9,0,28,30,28:30,19,3,12,4,73,276,3.8,2,19,65,3.4,0,50,26,211,2,2,4.2,8.1,52.0,59.67,17,6,35.3,3,1,33.3,5,2,0,0,7,52,2,2,4,23,8,8,5,278,55.6,4,2,-2,50.0,0,40.0,0,2,2,0,0,0,0,0,1,1,1,1,0,2,0,0,0,1,1,46,22,4,23,5,0,1,54,18,8,47,5,0,0,Thursday,3,6,16589
8/9/2018 7:00:00 PM,2,2018,1,PIT,PHI,AWAY,31,14,45,Lincoln Financial Field,7,15,6,3,0,33,29,33:29,19,6,9,4,64,346,5.4,3,31,94,3.0,1,29,20,252,2,1,8.7,12.6,69.0,104.38,14,3,21.4,1,1,100,2,1,0,0,8,42,0,0,4,23,2,5,5,221,44.2,1,3,2,0,14,0,0,0,26,31,26:31,16,6,10,0,58,325,5.6,2,24,106,4.4,0,32,18,219,2,2,6.8,12.2,56.2,72.27,10,2,20.0,1,0,0,2,1,0,0,11,74,1,1,2,12,7,5,6,275,45.8,3,1,-2,50.0,0,50.0,0,2,2,0,0,0,1,1,3,3,0,0,0,1,0,1,1,0,0,44,12,2,0,3,3,1,51,15,4,0,3,1,0,Thursday,28,26,16605
8/9/2018 7:00:00 PM,2,2018,1,PHI,PIT,HOME,14,31,45,Lincoln Financial Field,0,14,0,0,0,26,31,26:31,16,6,10,0,58,325,5.6,2,24,106,4.4,0,32,18,219,2,2,6.8,12.2,56.2,72.27,10,2,20.0,1,0,0,2,1,0,0,11,74,1,1,2,12,7,5,6,275,45.8,3,1,-2,7,15,6,3,0,33,29,33:29,19,6,9,4,64,346,5.4,3,31,94,3.0,1,29,20,252,2,1,8.7,12.6,69.0,104.38,14,3,21.4,1,1,100,2,1,0,0,8,42,0,0,4,23,2,5,5,221,44.2,1,3,2,50.0,0,50.0,0,0,0,0,1,0,1,1,0,0,2,2,0,0,0,1,1,3,3,51,15,4,0,3,1,0,44,12,2,0,3,3,1,Thursday,26,28,16605
8/9/2018 7:00:00 PM,2,2018,1,CAR,BUF,AWAY,28,23,51,New Era Field,7,0,7,14,0,28,42,28:42,21,5,13,3,58,342,5.9,4,26,53,2.0,2,31,20,289,2,0,9.3,14.4,64.5,116.20,10,5,50.0,0,0,0,2,2,0,0,8,67,0,0,1,9,4,4,5,217,43.4,0,1,1,7,10,0,6,0,31,18,31:18,23,4,16,3,62,430,6.9,3,21,92,4.4,1,39,25,338,2,1,8.7,13.5,64.1,98.02,12,7,58.3,1,0,0,4,2,0,0,10,69,0,0,2,13,5,3,3,137,45.7,1,0,-1,100,0,50.0,0,4,4,0,0,0,0,0,0,0,2,2,0,1,0,0,0,1,1,47,13,2,0,7,0,0,40,21,1,0,5,1,0,Thursday,5,4,16621
8/9/2018 7:00:00 PM,2,2018,1,BUF,CAR,HOME,23,28,51,New Era Field,7,10,0,6,0,31,18,31:18,23,4,16,3,62,430,6.9,3,21,92,4.4,1,39,25,338,2,1,8.7,13.5,64.1,98.02,12,7,58.3,1,0,0,4,2,0,0,10,69,0,0,2,13,5,3,3,137,45.7,1,0,-1,7,0,7,14,0,28,42,28:42,21,5,13,3,58,342,5.9,4,26,53,2.0,2,31,20,289,2,0,9.3,14.4,64.5,116.20,10,5,50.0,0,0,0,2,2,0,0,8,67,0,0,1,9,4,4,5,217,43.4,0,1,1,50.0,0,100,0,2,2,0,1,0,0,0,1,1,4,4,0,0,0,0,0,0,0,40,21,1,0,5,1,0,47,13,2,0,7,0,0,Thursday,4,5,16621
8/9/2018 7:00:00 PM,2,2018,1,CHI,CIN,AWAY,27,30,57,Paul Brown Stadium,7,7,6,7,0,30,50,30:50,25,6,15,4,69,423,6.1,3,25,132,5.3,2,43,28,291,0,2,6.8,10.4,65.1,65.16,13,5,38.5,1,1,100,3,2,0,0,8,85,1,1,1,8,2,3,4,167,41.8,3,1,-2,14,9,0,7,0,29,10,29:10,22,5,13,4,65,447,6.9,3,28,144,5.1,0,36,21,303,3,1,8.4,14.4,58.3,101.97,14,4,28.6,1,1,100,4,1,0,0,10,98,0,0,1,4,5,6,6,245,40.8,1,3,2,66.7,0,25.0,0,3,3,0,0,0,0,0,3,2,3,3,0,0,0,0,0,3,3,45,18,1,0,6,0,0,49,20,1,0,3,1,1,Thursday,6,7,16603
8/9/2018 7:00:00 PM,2,2018,1,CIN,CHI,HOME,30,27,57,Paul Brown Stadium,14,9,0,7,0,29,10,29:10,22,5,13,4,65,447,6.9,3,28,144,5.1,0,36,21,303,3,1,8.4,14.4,58.3,101.97,14,4,28.6,1,1,100,4,1,0,0,10,98,0,0,1,4,5,6,6,245,40.8,1,3,2,7,7,6,7,0,30,50,30:50,25,6,15,4,69,423,6.1,3,25,132,5.3,2,43,28,291,0,2,6.8,10.4,65.1,65.16,13,5,38.5,1,1,100,3,2,0,0,8,85,1,1,1,8,2,3,4,167,41.8,3,1,-2,25.0,0,66.7,0,3,3,0,0,0,0,0,3,3,3,3,0,0,0,0,0,3,2,49,20,1,0,3,1,1,45,18,1,0,6,0,0,Thursday,7,6,16603
8/9/2018 7:00:00 PM,2,2018,1,TB,MIA,AWAY,26,24,50,Hard Rock Stadium,6,10,7,3,0,31,33,31:33,27,7,19,1,76,399,5.2,3,28,73,2.6,2,47,37,326,1,0,6.9,8.8,78.7,102.66,13,6,46.2,1,1,100,5,3,0,0,7,74,1,1,1,10,7,1,3,107,35.7,1,2,1,3,7,6,8,0,28,27,28:27,25,7,16,2,69,393,5.7,2,22,116,5.3,1,45,26,277,1,1,6.2,10.7,57.8,74.03,12,2,16.7,3,2,66.7,5,2,0,0,7,52,1,1,2,6,2,4,2,90,45,2,1,-1,60.0,0,40.0,0,3,2,0,0,0,0,0,3,2,1,1,0,2,1,0,0,4,3,42,22,2,0,10,1,1,49,31,1,0,3,1,1,Thursday,33,19,16622
8/9/2018 7:00:00 PM,2,2018,1,MIA,TB,HOME,24,26,50,Hard Rock Stadium,3,7,6,8,0,28,27,28:27,25,7,16,2,69,393,5.7,2,22,116,5.3,1,45,26,277,1,1,6.2,10.7,57.8,74.03,12,2,16.7,3,2,66.7,5,2,0,0,7,52,1,1,2,6,2,4,2,90,45,2,1,-1,6,10,7,3,0,31,33,31:33,27,7,19,1,76,399,5.2,3,28,73,2.6,2,47,37,326,1,0,6.9,8.8,78.7,102.66,13,6,46.2,1,1,100,5,3,0,0,7,74,1,1,1,10,7,1,3,107,35.7,1,2,1,40.0,0,60.0,0,1,1,0,2,1,0,0,4,3,3,2,0,0,0,0,0,3,2,49,31,1,0,3,1,1,42,22,2,0,10,1,1,Thursday,19,33,16622
8/9/2018 7:00:00 PM,2,2018,1,NO,JAX,AWAY,24,20,44,TIAA Bank Field,3,7,0,14,0,29,33,29:33,22,13,7,2,60,265,4.4,3,34,135,4.0,3,23,18,130,0,0,5.7,7.2,78.3,90.22,11,5,45.5,2,1,50.0,3,3,0,0,6,55,0,0,3,12,9,6,2,87,43.5,0,1,1,7,6,7,0,0,30,27,30:27,22,7,11,4,66,271,4.1,2,26,72,2.8,1,34,24,199,1,0,5.9,8.3,70.6,95.10,12,6,50.0,1,0,0,2,2,0,0,3,25,1,1,6,30,3,3,2,88,44,1,0,-1,100,0,100,0,3,3,0,0,0,0,0,1,1,2,2,0,0,0,0,0,2,2,58,4,6,0,4,2,1,55,0,3,0,2,0,0,Thursday,22,15,16606
8/9/2018 7:00:00 PM,2,2018,1,JAX,NO,HOME,20,24,44,TIAA Bank Field,7,6,7,0,0,30,27,30:27,22,7,11,4,66,271,4.1,2,26,72,2.8,1,34,24,199,1,0,5.9,8.3,70.6,95.10,12,6,50.0,1,0,0,2,2,0,0,3,25,1,1,6,30,3,3,2,88,44,1,0,-1,3,7,0,14,0,29,33,29:33,22,13,7,2,60,265,4.4,3,34,135,4.0,3,23,18,130,0,0,5.7,7.2,78.3,90.22,11,5,45.5,2,1,50.0,3,3,0,0,6,55,0,0,3,12,9,6,2,87,43.5,0,1,1,100,0,100,0,2,2,0,0,0,0,0,2,2,3,3,0,0,0,0,0,1,1,55,0,3,0,2,0,0,58,4,6,0,4,2,1,Thursday,15,22,16606
8/9/2018 7:00:00 PM,2,2018,1,CLE,NYG,AWAY,20,10,30,MetLife Stadium,7,6,0,7,0,31,45,31:45,15,3,12,0,63,372,5.9,3,33,50,1.5,0,29,18,322,3,0,11.1,17.9,62.1,134.55,17,5,29.4,2,2,100,1,1,0,0,13,141,1,1,1,11,5,5,10,424,42.4,1,0,-1,3,0,7,0,0,28,15,28:15,19,7,8,4,70,310,4.4,1,23,134,5.8,1,45,22,176,0,0,3.9,8,48.9,59.12,17,4,23.5,1,0,0,1,1,0,0,4,33,0,0,2,17,3,8,10,442,44.2,0,1,1,100,0,100,0,2,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1,52,3,2,0,6,0,0,53,14,1,0,4,1,1,Thursday,8,23,16604
8/9/2018 7:00:00 PM,2,2018,1,NYG,CLE,HOME,10,20,30,MetLife Stadium,3,0,7,0,0,28,15,28:15,19,7,8,4,70,310,4.4,1,23,134,5.8,1,45,22,176,0,0,3.9,8,48.9,59.12,17,4,23.5,1,0,0,1,1,0,0,4,33,0,0,2,17,3,8,10,442,44.2,0,1,1,7,6,0,7,0,31,45,31:45,15,3,12,0,63,372,5.9,3,33,50,1.5,0,29,18,322,3,0,11.1,17.9,62.1,134.55,17,5,29.4,2,2,100,1,1,0,0,13,141,1,1,1,11,5,5,10,424,42.4,1,0,-1,100,0,100,0,1,1,0,0,0,0,0,1,1,2,2,0,2,0,0,0,0,0,53,14,1,0,4,1,1,52,3,2,0,6,0,0,Thursday,23,8,16604
