SeasonType,Season,Team,Score,OpponentScore,TotalScore,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,Games,TeamID
5,2018,AFC,26,7,33,7,10,3,6,0,,24,6,17,1,65,416,6.4,3,18,54,3,1,46,21,362,2,2,7.9,17.2,45.7,69.29,12,5,41.7,2,0,0,4,3,0,0,4,40,0,0,1,3,8,7,0,0,0,2,3,1,0,0,0,7,0,,10,2,6,2,45,148,3.3,1,9,47,5.2,0,29,14,101,1,3,3.5,7.2,48.3,28.74,10,1,10.0,3,2,66.7,1,0,0,0,3,53,0,0,7,46,1,3,4,173,43.2,3,2,-1,75.0,0,0,0,2,2,0,2,0,0,0,3,2,1,1,0,0,0,0,0,0,0,27,6,7,46,6,1,0,38,4,1,3,9,0,1,1,36
1,2018,ARI,225,425,650,71,50,32,72,0,27:33,239,76,137,26,902,3865,4.3,27,355,1342,3.8,9,495,283,2523,15,18,5.1,8.9,57.2,65.91,199,58,29.1,16,6,37.5,28,18,0,0,101,786,10,10,52,361,94,118,94,4568,48.6,28,16,-12,87,158,100,80,0,33:27,357,139,186,32,1065,5741,5.4,50,510,2479,4.9,25,506,342,3262,21,7,6.4,9.5,67.6,93.34,205,78,38.0,13,8,61.5,53,33,0,0,100,790,9,9,49,333,111,101,79,3638,46.1,16,28,12,64.3,0,62.3,0,24,23,0,4,1,1,1,17,12,42,42,0,11,1,2,2,31,25,830,246,49,333,52,13,9,625,246,52,362,76,16,10,16,1
2,2018,ARI,81,56,137,28,20,17,16,0,27:03,47,14,26,7,205,821,4.0,9,95,351,3.7,3,103,57,470,3,1,4.6,8.2,55.3,72.88,50,11,22.0,1,1,100,7,5,0,0,38,337,1,1,7,44,18,21,29,1351,46.6,2,17,15,3,6,18,29,0,33:57,80,25,41,14,263,1310,5.0,5,100,432,4.3,2,149,102,878,3,7,5.9,8.6,68.5,70.82,55,18,32.7,4,3,75.0,11,4,0,0,36,348,10,10,14,99,20,19,17,823,48.4,17,2,-15,71.4,0,36.4,0,9,9,0,0,0,0,0,8,6,3,3,0,2,0,1,1,9,7,216,71,13,0,18,8,10,158,51,7,0,19,1,1,4,1
2,2018,ATL,27,96,123,10,17,0,0,0,26:14,51,14,33,4,228,988,4.3,3,88,286,3.2,1,129,66,702,2,4,5.4,10.6,51.2,59.64,53,17,32.1,8,1,12.5,7,3,0,0,29,228,1,1,11,50,19,23,25,1134,45.4,5,6,1,28,33,14,21,0,34:46,83,23,51,9,265,1349,5.1,12,120,415,3.5,4,134,99,934,6,4,7.0,9.4,73.9,95.18,60,28,46.7,6,4,66.7,11,7,0,0,25,209,2,2,11,56,21,28,17,776,45.6,6,5,-1,42.9,0,63.6,0,3,3,0,0,0,0,0,3,2,10,10,0,2,1,0,0,8,6,217,49,13,0,11,0,3,159,45,11,0,20,3,1,4,2
1,2018,ATL,414,423,837,64,141,72,137,0,30:36,352,84,238,30,1010,6226,6.2,49,351,1573,4.5,11,617,428,4653,36,7,7.5,10.9,69.4,106.03,203,92,45.3,19,10,52.6,50,32,0,0,101,899,11,11,42,296,79,68,60,2729,45.5,18,19,1,95,96,88,138,6,31:51,375,115,226,34,1031,6152,6.0,52,409,1999,4.9,16,585,398,4153,33,15,7.1,10.4,68.0,96.48,195,95,48.7,13,10,76.9,54,38,0,0,108,1001,4,4,37,255,111,106,60,2810,46.8,19,18,-1,64.0,0,70.4,0,43,41,0,11,2,0,0,26,25,44,41,0,10,0,2,2,22,22,712,320,37,256,72,7,4,745,187,41,281,68,15,12,16,2
1,2018,BAL,389,287,676,88,108,106,87,0,33:54,367,153,184,30,1135,5999,5.3,41,547,2441,4.5,19,556,334,3558,18,9,6.4,10.7,60.1,82.85,231,104,45.0,22,13,59.1,59,33,0,0,116,940,11,11,32,150,103,93,60,2842,47.4,20,17,-3,66,104,53,58,6,28:15,286,82,174,30,974,4687,4.8,33,354,1327,3.7,11,577,337,3360,21,12,5.8,10.0,58.4,78.48,211,72,34.1,20,10,50.0,41,26,0,0,113,1017,5,5,43,291,69,64,88,3849,43.7,17,20,3,55.9,0,63.4,0,37,36,0,5,0,1,1,39,35,29,27,0,7,1,0,0,26,20,656,242,42,282,88,8,5,787,313,32,152,77,13,12,16,3
3,2018,BAL,17,23,40,0,0,3,14,0,26:20,11,4,7,0,59,229,3.9,2,23,90,3.9,0,29,14,139,2,1,4.8,9.9,48.3,70.91,15,5,33.3,2,2,100,2,1,0,0,7,41,2,2,7,55,8,7,6,268,44.7,3,1,-2,6,6,0,11,0,33:40,14,3,8,3,66,243,3.7,1,33,89,2.7,1,32,22,154,0,0,4.8,7,68.8,79.43,17,6,35.3,1,1,100,3,1,0,0,5,35,1,1,1,6,10,9,5,177,35.4,1,3,2,50.0,0,33.3,0,2,2,0,0,0,0,0,2,1,0,0,0,2,1,0,0,6,5,56,17,1,6,1,1,1,42,15,7,55,6,2,2,1,3
2,2018,BAL,127,72,199,34,25,45,23,0,32:36,100,45,43,12,333,1612,4.8,13,171,795,4.6,4,144,85,817,8,3,5.7,9.6,59.0,84.75,67,17,25.4,4,4,100,17,9,0,0,33,267,2,2,18,98,42,28,26,1250,48.1,5,14,9,10,24,7,31,0,28:24,81,22,48,11,316,1325,4.2,9,106,449,4.2,0,189,104,876,8,9,4.6,8.4,55.0,61.52,76,24,31.6,11,3,27.3,16,8,0,0,47,365,5,5,21,168,23,32,28,1317,47.0,14,5,-9,52.9,0,50.0,0,13,13,0,0,0,0,0,17,12,7,7,0,5,0,0,0,5,4,234,84,20,23,30,5,4,253,107,18,47,21,2,2,5,3
2,2018,BUF,83,98,181,7,20,19,37,0,30:56,81,31,38,12,259,1357,5.2,11,108,535,5.0,3,135,80,822,8,3,6.1,10.3,59.3,87.33,54,21,38.9,4,2,50.0,13,8,0,0,39,329,0,0,16,104,13,23,21,931,44.3,3,2,-1,38,16,20,24,0,30:04,80,27,45,8,244,1350,5.5,11,117,435,3.7,6,123,74,915,4,2,7.4,12.4,60.2,87.28,49,19,38.8,0,0,0,11,6,0,0,32,298,0,0,4,27,27,19,22,999,45.4,2,3,1,61.5,0,54.5,0,6,5,0,7,0,0,0,5,4,11,11,0,0,0,0,0,8,7,181,57,4,0,20,2,0,181,67,16,0,21,1,0,4,4
1,2018,BUF,269,374,643,80,52,63,74,0,30:29,283,108,137,38,1008,4778,4.7,29,468,1984,4.2,16,499,271,2794,13,23,5.6,10.3,54.3,60.15,215,68,31.6,18,7,38.9,37,22,0,0,116,992,9,9,41,288,88,109,81,3513,43.4,32,27,-5,64,168,40,102,0,30:31,293,111,157,25,968,4706,4.9,44,440,1839,4.2,17,492,313,2867,22,16,5.8,9.2,63.6,80.73,203,74,36.5,11,6,54.5,48,34,0,0,99,976,11,11,36,217,104,96,80,3555,44.4,27,32,5,59.5,0,70.8,0,26,25,0,5,1,0,0,28,22,39,36,0,7,0,1,1,27,24,727,287,36,218,74,21,12,738,263,41,301,87,14,9,16,4
